plant_name,plant_code,unique_id,ba_id,nameplate
Big Top LLC,56968,"Big Top, LLC (Oregon Windfarms1WT1.65",PACW,1.65
Butter Creek Power LLC,56967,Butter Creek Power LLC (Oregon Windfarms LLC)1WT4.95,PACW,4.95
Chopin Wind LLC,59076,"Chopin Wind, LLC0WT10",PACW,10
Combine Hills I,56195,Combine Hills 141WT41,PACW,41
Four Corners Windfarm LLC,56969,Four Corners Windfarm LLC (Oregon Windfarms LLC)1WT10,PACW,10
Four Mile Canyon Windfarm LLC,56970,Four Mile Canyon Windfarm LLC (Oregon Windfarms LLC)1WT10,PACW,10
FPL Energy Vansycle LLC (WA),55560,FPL Energy Vansycle LLC (WA)186WT176.9,PACW,176.9
Goodnoe Hills,56666,Goodnoe Hills1-47WT103.4,PACW,103.4
Leaning Juniper,56360,Leaning Juniper1-67WT107.36,PACW,107.36
Marengo Wind Plant,56466,Marengo 11-78WT156,PACW,156
Marengo Wind Plant,56466,Marengo 279-117WT78,PACW,78
"Orchard Windfarm 1, LLC",62935,"Orchard Wind Farm 1, LLC5WT10",PACW,10
"Orchard Windfarm 3, LLC",64052,"Orchard Wind Farm 2, LLC5WT10",PACW,10
"Orchard Windfarm 2, LLC",64051,"Orchard Wind Farm 3, LLC5WT10",PACW,10
"Orchard Windfarm 4, LLC",64053,"Orchard Wind Farm 4, LLC5WT10",PACW,10
Oregon Trail Windfarm LLC,56971,Oregon Trail Windfarm LLC (Oregon Windfarms LLC)1WT9.9,PACW,9.9
Pacific Canyon Windfarm LLC,56972,Pacific Canyon Windfarm LLC (Oregon Windfarms LLC)1WT8.25,PACW,8.25
Sand Ranch Windfarm LLC,56973,Sand Ranch Windfarm LLC (Oregon Windfarms LLC)1WT9.9,PACW,9.9
Threemile Canyon,56933,Threemile Canyon Wind I LLC1WT9.9,PACW,9.9
,,Utility Wind - Portland North Coast1WT450,PACW,450
,,Utility Wind - Portland North Coast1WT130,PACW,130
,,Utility Wind - Willamette Valley1WT615,PACW,615
,,Utility Wind+Storage - Yakima1WT160,PACW,160
,,Utility Wind+Storage - Yakima1WT9.8,PACW,9.8
Vansycle II Wind Energy Center,58324,Vansycle II Wind Energy Center43WT98.9,PACW,98.9
Wagon Trail LLC,56974,Wagon Trail LLC (Oregon Windfarms LLC)1WT3.3,PACW,3.3
Ward Butte Windfarm LLC,56975,Ward Butte Windfarm LLC (Oregon Windfarms LLC)1WT6.6,PACW,6.6
Biglow Canyon Wind Farm,56485,Biglow Canyon 176WT125.4,PGE,125.4
Biglow Canyon Wind Farm,56485,Biglow Canyon 276WT174.8,PGE,174.8
Biglow Canyon Wind Farm,56485,Biglow Canyon 365WT149.5,PGE,149.5
Tucannon River Wind Farm,58571,Tucannon River Wind116WT267,PGE,267
Wheatridge 1,64057,Wheatridge40WT100,PGE,100
Aragonne Wind LLC,X56336,XArgonne Mesa1WT90,PNM,90
Casa Mesa Wind Energy Center Hybrid,61925,Casa Mesa Wind1WT50,PNM,50
Duran Mesa LLC,64065,Duran Mesa1WT105.08,PNM,105.08
El Cabo Wind,58098,El Cabo Wind1WT298.2,PNM,298.2
High Lonesome Mesa LLC,56945,High Lonesome Mesa Wind Farm1WT100,PNM,100
La Joya NM,61044,La Joya1WT166,PNM,166
La Joya NM,61044,La Joya2WT141,PNM,141
New Mexico Wind Energy Center,56097,New Mexico Wind Energy Center1WT204,PNM,204
Red Cloud Wind LLC,63981,Red Cloud1WT349.68,PNM,349.68
Red Mesa Wind LLC,57357,Red Mesa1WT102.4,PNM,102.4
Tecolote Wind LLC,64066,Tecolte1WT271.68,PNM,271.68
,,Arriba Wind Project1WT100,PSCO,100
"Bronco Plains Wind, LLC",63803,Bronco Plains1WT299.36,PSCO,299.36
Busch Ranch II Wind Farm,62445,Busch Ranch Ph 2 Wind Generation2WT59.4,PSCO,59.4
Busch Ranch Wind Energy Farm,57980,Busch Ranch Wind Generation1WT29,PSCO,29
Cedar Creek Wind,56371,Cedar Creek1WT300.5,PSCO,300.5
Cedar Creek Wind,56371,Cedar Creek1WT300.5,PSCO,300.5
Cedar Creek II,57210,Cedar Creek II Wind2WT250.8,PSCO,250.8
Cedar Point Wind,57315,Cedar Point1WT252,PSCO,252
Cheyenne Ridge Wind Farm,62952,Cheyenne Ridge1WT500,PSCO,500
Colorado Green Holdings LLC,56173,Colorado Green1WT162,PSCO,162
Golden West Power Partners LLC,59974,Golden West1WT249.4,PSCO,249.4
Huerfano River Wind,58548,Huerfano River Wind1WT8,PSCO,8
Huerfano River Wind,58548,Huerfano River Wind1WT8,PSCO,8
Huerfano River Wind,58548,Huerfano River Wind1WT8,PSCO,8
Huerfano River Wind,58548,Huerfano River Wind1WT8,PSCO,8
Lamar Plant,508,Lamar4WT4.5,PSCO,4.5
Lamar Plant,508,Lamar1WT1.5,PSCO,1.5
Limon Wind I,58126,Limon I1WT200,PSCO,200
Limon Wind II,58127,Limon II1WT200,PSCO,200
Limon III Wind LLC,59083,Limon III1WT200.6,PSCO,200.6
Logan Wind Energy,56613,Logan County1WT201,PSCO,201
Medicine Bow,692,Medicine BowMB1WT6.27,PSCO,6.27
Medicine Bow,692,Medicine BowMB1WT6.27,PSCO,6.27
"Mountain Breeze Wind, LLC",62840,Mountain Breeze1WT171.72,PSCO,171.72
Northern Colorado Wind LLC,57290,Northern Colorado Wind1WT151.8,PSCO,151.8
Northern Colorado Wind LLC,57290,Northern Colorado Wind II2WT22.5,PSCO,22.5
,57693,NREL NWTC Wind1WT4,PSCO,4
,57693,NREL NWTC Wind2WT2.3,PSCO,2.3
,57693,NREL NWTC Wind4WT2,PSCO,2
Peak View Wind Farm,60143,Peak View Wind Generation1WT60.8,PSCO,60.8
Peetz Table Wind Energy,56563,Peetz Table1WT199.5,PSCO,199.5
Ridge Crest Wind Partners,55741,Ridge Crest1WT29.69,PSCO,29.69
Roundhouse Wind Energy Project,63133,Roundhouse1WT225,PSCO,225
Roundhouse Wind Energy Project,63133,Roundhouse1WT225,PSCO,225
Roundhouse Wind Energy Project,63133,Roundhouse1WT225,PSCO,225
Rush Creek Wind,60619,Rush Creek I1WT400,PSCO,400
Rush Creek Wind,60619,Rush Creek II1WT200,PSCO,200
Spring Canyon,56320,Spring Canyon1WT60,PSCO,60
Spring Canyon Expansion Wind Energy Ctr,58769,Spring Canyon2WT32,PSCO,32
Spring Canyon Expansion Wind Energy Ctr,58769,Spring Canyon3WT28,PSCO,28
,,Springfield1WT1.5,PSCO,1.5
Twin Buttes Wind Project,56460,Twin Buttes1WT75,PSCO,75
Twin Buttes II Wind,61040,Twin Buttes2WT75,PSCO,75
Skookumchuck Wind Facility,X63205,XThurston Wind1WT152,PSEI,152
Vantage Wind Energy LLC,57188,Vantage Wind1WT96,PSEI,96
Wild Horse,56322,Wild Horse1WT228.59,PSEI,228.59
Wild Horse,56322,Wild Horse Expansion1WT44,PSEI,44
Babbitt Ranch Energy Center,66110,Babbit Ranch1WT161,SRP,161
"Poseidon Wind, LLC",57379,Dry Lake E1WT63,SRP,63
Dry Lake Wind LLC,57098,Dry Lake W1WT64,SRP,64
"Borderlands Wind, LLC",64638,Borderlands Wind NextEra1WT99.01,TEPC,99.01
Kingman 1,57775,Kingman Wind1WT10,TEPC,10
Macho Springs Power I,57947,Macho Springs1WT50.4,TEPC,50.4
Oso Grande Wind Farm,63502,Oso Grande Wind1WT247.4,TEPC,247.4
Oso Grande Wind Farm,63502,Oso Grande Wind1WT247.4,TEPC,247.4
Red Horse 2,58833,Red Horse Wind 2    (WIND)1WT30,TEPC,30
Carousel Wind Farm LLC,59975,Carousel1WT150,WACM,150
Colorado Highlands Wind,57174,Colorado Highlands Wind42WT91,WACM,91
Colorado Highlands Wind,57174,Colorado Highlands Wind42WT91,WACM,91
Corriedale Wind Energy,63436,Corriedale1WT52.5,WACM,52.5
Crossing Trails Wind Power Project LLC.,62489,Crossing Trails Wind Farm1WT104,WACM,104
Happy Jack Windpower Project,56960,Happy Jack1WT29.39,WACM,29.39
Kimball Wind,56106,Kimball Wind Farm1WT30,WACM,30
Kit Carson Windpower,57244,Kit Carson Wind Farm1WT51,WACM,51
Silver Sage Windpower,57091,Silver Sage1WT42,WACM,42
,,Warren AF Wind1WT1,WACM,1
,,2021-G61WT135,WALC,135
NaturEner Rim Rock Energy,57995,Rim Rock126WT189,WWA,189
,,Fuerza EÃ³lica San Matias1WT30,CFE,30
,,Parque Eolico Rumorosa5WT10,CFE,10
,,Milford I1WT5,CISO,5
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
