plant_name,plant_code,unique_id,ba_id,nameplate
,,Wind_PC281WT153,BCHA,153
,,Wind_PC481WT150,BCHA,150
,,Zonnebeke Wind Energy1WT15,BCHA,15
"Broadview Energy JN, LLC",X60145,XPattern Operators. LP1WT182,BEJN,182
"Broadview Energy KW, LLC",X60152,XPattern Operators. LP1WT143,BEKW,143
,,Generic Windn/aWT50,BPA,50
,,Generic Windn/aWT25,BPA,25
Eurus Combine Hills Turbine Ranch 2,57137,Combine Hills 263WT63,BPAT,63
Condon Windpower LLC,55739,Condon Wind 141WT24.6,BPAT,24.6
Condon Windpower LLC,55739,Condon Wind 242WT25.19,BPAT,25.19
Coastal Energy Project,57756,Grayland Wind (Coastal)4WT6,BPAT,6
Hopkins Ridge Wind,56255,Hopkins Ridge 183WT149.4,BPAT,149.4
Hopkins Ridge Wind,56255,Hopkins Ridge 24WT7.2,BPAT,7.2
Sagebrush Power Partners,56858,Kittitas Valley Wind Project48WT100.8,BPAT,100.8
Linden Wind Energy Project,57635,Linden Ranch Wind25WT50,BPAT,50
Lower Snake River Wind Energy Project,57195,Lower Snake Wind149WT342.69,BPAT,342.69
Nine Canyon,7936,Nine Canyon 137WT48.1,BPAT,48.1
Nine Canyon,7936,Nine Canyon 212WT15.6,BPAT,15.6
Nine Canyon,7936,Nine Canyon 314WT32.2,BPAT,32.2
PaTu Wind Farm LLC,57578,PaTu Wind6WT9,BPAT,9
Arlington Wind Power Project,56855,Rattlesnake Road (Arlington)49WT102.9,BPAT,102.9
South Hurlburt Wind LLC,57549,Shepherds Flat - Central (South Hurlburt)116WT290,BPAT,290
North Hurlburt Wind LLC,57526,Shepherds Flat - North (North Hurlburt)106WT265,BPAT,265
Horseshoe Bend Wind LLC,57550,Shepherds Flat - South (Horseshoe Bend)116WT290,BPAT,290
FPL Energy Vansycle LLC (OR),55989,Stateline Wind â€“ BPA (OR)181WT123.42,BPAT,123.42
FPL Energy Vansycle LLC (WA),55560,Stateline Wind â€“ BPA (WA)268WT176.9,BPAT,176.9
Vansycle,55125,Vansycle Wind 138WT25.1,BPAT,25.1
,,West Butte Wind1WT104,BPAT,104
Wheat Field Wind Power Project,56854,Wheat Field46WT96.59,BPAT,96.59
Wheatridge Hybrid,62745,Wheatridge IIWT200,BPAT,200
White Creek Wind Farm,56487,White Creek 189WT204.69,BPAT,204.69
Harvest Wind Project,57152,White Creek 2 (Harvest Wind)43WT98.9,BPAT,98.9
Willow Creek Energy Center,56952,Willow Creek48WT72,BPAT,72
Windy Flats Wind Project,57159,Windy Point 2 (Windy Flats 1)88WT202.4,BPAT,202.4
Windy Flats Wind Project,57159,Windy Point 2 Phase (2) (Windy26WT59.78,BPAT,59.78
Mesa Wind Power LLC,50535,Alta Mesa WindWT27.28,CISO,27.28
,,Mesa Wind ProjectWT30,CISO,30
Alta Wind Energy Center I,57282,Alta Wind 11WT150,CISO,150
Alta Wind X,58394,Alta Wind 101WT138,CISO,138
Alta Wind XI,58395,Alta Wind 111WT90,CISO,90
Alta Wind Energy Center II,57291,Alta Wind 21WT150,CISO,150
Alta Wind Energy Center III,57292,Alta Wind 31WT150,CISO,150
Alta Wind Energy Center IV,57293,Alta Wind 41WT102,CISO,102
Alta Wind Energy Center V,57294,Alta Wind 51WT168,CISO,168
Alta Wind VIII,57835,Alta Wind 81WT150,CISO,150
,,Altamont Winds LLCWT56.2,CISO,56.2
,,Altech 3WT9.8,CISO,9.8
,,Altwind1WT28.84,CISO,28.84
,50386,ANTELOPE QFS1WT9.49,CISO,9.49
,,Baja_California_Wind (Generic)WT495,CISO,495
,,BIGLOW CANYON1WT50,CISO,50
"Broadview Energy KW, LLC",60152,Broadview 11WT130,CISO,130
"Broadview Energy JN, LLC",X60145,XBroadview 21WT167,CISO,167
CTV Power Purchase Contract Trust,54300,Brookfield Tehachapi 31WT4.5,CISO,4.5
Coram Tehachapi,54750,Brookfield Tehachapi 41WT6.52,CISO,6.52
,50712,Buckwind Re-powering project1WT16.5,CISO,16.5
